"Distance [mm]"	"nb []"
0	5.28528451225083E-006
0.11299733655802	0.00344298494078381
0.22599467311604	0.00687850597007633
0.33899200967406	0.0103140367374375
0.45198934623208	0.0137499331805677
0.564986682790101	0.0171833474477168
0.677984019348121	0.0206137605304546
0.790981355906141	0.02404267329347
0.903978692464161	0.0274726771366149
1.01697602902218	0.0309157558614511
1.1299733655802	0.034342505896821
1.24297070213822	0.0377685035758809
1.35596803869624	0.0411936293334738
1.46896537525426	0.0446176015332713
1.58196271181228	0.0480399768962921
1.6949600483703	0.0514601510355576
1.80795738492832	0.0548773590966149
1.92095472148634	0.0582906765036139
2.03395205804436	0.0616836459739881
2.14694939460238	0.0650772451098031
2.2599467311604	0.0684749445355316
2.37294406771842	0.071876042120986
2.48594140427644	0.0752798284131886
2.59893874083446	0.0786855867310266
2.71193607739248	0.082092593263743
2.8249334139505	0.085500117173256
2.93793075050852	0.0888991880148025
3.05092808706654	0.0922866833623026
3.16392542362456	0.0956693094437262
3.27692276018258	0.0990464879507756
3.3899200967406	0.10241765251256
3.50291743329862	0.105782248641033
3.61591476985664	0.109139733670547
3.72891210641466	0.112489576691587
3.84190944297268	0.115831400212136
3.9549067795307	0.119175113909826
4.06790411608872	0.122525847400558
4.18090145264674	0.125882255199683
4.29389878920476	0.129242992804823
4.40689612576278	0.132606717051815
4.5198934623208	0.135972086469048
4.63289079887882	0.139337761630105
4.74588813543684	0.142702405504594
4.85888547199486	0.145938798613487
4.97188280855289	0.149169845913228
5.0848801451109	0.152419203519807
5.19787748166893	0.155688105358023
5.31087481822695	0.158977809259793
5.42387215478496	0.162289596142981
5.53686949134299	0.16562476917732
5.649866827901	0.168984652937812
5.76286416445903	0.172304319375124
5.87586150101705	0.175556868331
5.98885883757506	0.178788587680695
6.10185617413309	0.181998613337628
6.21485351069111	0.185186094765297
6.32785084724912	0.188350194843686
6.44084818380715	0.191490089729178
6.55384552036517	0.194604968708103
6.66684285692319	0.197737500185367
6.77984019348121	0.201002466258329
6.89283753003923	0.20423576775208
7.00583486659725	0.207439961425932
7.11883220315527	0.210617597032426
7.23182953971329	0.213771215778794
7.34482687627131	0.216903348793512
7.45782421282933	0.220016515598583
7.57082154938735	0.223113222588193
7.68381888594537	0.22635055205634
7.79681622250339	0.229568507612996
7.90981355906141	0.232743809333498
8.02281089561943	0.235874307519775
8.13580823217745	0.238957877811583
8.24880556873547	0.241992421772579
8.36180290529349	0.244975867463659
8.47480024185151	0.247906170003386
8.58779757840953	0.250922008151157
8.70079491496755	0.254012272178218
8.81379225152557	0.25707666195159
8.92678958808359	0.260117856538073
9.03978692464161	0.263138523047844
9.15278426119963	0.266141315113297
9.26578159775765	0.269128871375129
9.37877893431567	0.272103813976283
9.49177627087369	0.275102721783325
9.60477360743171	0.278179558831995
9.71777094398973	0.281213127421126
9.83076828054775	0.284201215457221
9.94376561710577	0.287141639996796
10.0567629536638	0.290032247873328
10.1697602902218	0.29287091630938
10.2827576267798	0.295655553513737
10.3957549633379	0.298384099263373
10.5087522998959	0.301268633507066
10.6217496364539	0.304148697370079
10.7347469730119	0.307009348117687
10.8477443095699	0.3098533362706
10.960741646128	0.312683396498651
11.073738982686	0.315502246125403
11.186736319244	0.318312583641349
11.299733655802	0.321117087226296
11.41273099236	0.32397363263024
11.5257283289181	0.326832595956929
11.6387256654761	0.329645972547808
11.7517230020341	0.332411544949352
11.8647203385921	0.335127128778139
11.9777176751501	0.337790573365618
12.0907150117082	0.340399762386078
12.2037123482662	0.342952614467624
12.3167096848242	0.345500670435424
12.4297070213822	0.348159518018332
12.5427043579402	0.350802957997455
12.6557016944983	0.353433796657511
12.7686990310563	0.356054822336012
12.8816963676143	0.358668803959388
12.9946937041723	0.361278489588264
13.1076910407303	0.363886604972494
13.2206883772884	0.366495852116509
13.3336857138464	0.369146616738617
13.4466830504044	0.37175537244934
13.5596803869624	0.374316594006906
13.6726777235204	0.376828083939997
13.7856750600785	0.37928768154695
13.8986723966365	0.381693263551143
14.0116697331945	0.384042744737689
14.1246670697525	0.386334078571262
14.2376644063105	0.388677116838722
14.3506617428686	0.391066791942167
14.4636590794266	0.393447988690651
14.5766564159846	0.395823521364546
14.6896537525426	0.398196182869237
14.8026510891006	0.400568743329293
14.9156484256587	0.402943948692895
15.0286457622167	0.405324519347051
15.1416430987747	0.40771689012354
15.2546404353327	0.410092100610207
15.3676377718907	0.412420871831392
15.4806351084488	0.414701016303429
15.5936324450068	0.416930385740024
15.7066297815648	0.419106871728502
15.8196271181228	0.421228406386
15.9326244546808	0.423292962995385
16.0456217912389	0.425298556620713
16.1586191277969	0.427401291919714
16.2716164643549	0.42950247396608
16.3846138009129	0.431602142098809
16.4976111374709	0.43370308650234
16.610608474029	0.435808072871065
16.723605810587	0.437919841075414
16.836603147145	0.440041103839113
16.949600483703	0.442174545428165
17.062597820261	0.444295619011593
17.1755951568191	0.446367649052121
17.2885924933771	0.448392433941811
17.4015898299351	0.450367855515776
17.5145871664931	0.452291837660871
17.6275845030511	0.454162346987155
17.7405818396092	0.455977393477842
17.8535791761672	0.457735031117543
17.9665765127252	0.459470720388254
18.0795738492832	0.461261432246544
18.1925711858412	0.463054788992342
18.3055685223993	0.464853552072606
18.4185658589573	0.466660456873456
18.5315631955153	0.468478211462289
18.6445605320733	0.470309495341419
18.7575578686313	0.472156958213725
18.8705552051894	0.47402259366771
18.9835525417474	0.475813755606188
19.0965498783054	0.47755960260394
19.2095472148634	0.479258069880786
19.3225445514214	0.480907136319696
19.4355418879795	0.482504825145688
