XY Plot 1
Distance [mm]
Mag_B [mTesla]
__cartesian__ 0 0 0.000000 170.051408 112.098362 470.876346
__settings__ 1 0 0 0 11 11 0 0 0 0
39.2344 466.115
39.3465 466.042
39.4586 465.994
39.5707 465.953
39.6828 465.673
39.7949 465.406
39.907 465.15
40.0191 464.905
40.1312 464.671
40.2433 464.446
40.3554 464.229
40.4675 464.021
40.5796 463.821
40.6917 463.63
40.8038 463.449
40.9159 463.277
41.028 463.114
41.1401 462.959
41.2522 462.814
41.3643 462.677
41.4764 462.482
41.5885 462.096
41.7006 461.721
41.8127 461.354
41.9248 460.996
42.0369 460.645
42.149 460.301
42.2611 459.963
42.3732 459.631
42.4853 459.311
42.5974 458.999
42.7095 458.694
42.8216 458.396
42.9337 458.104
43.0458 457.818
43.1579 457.539
43.27 457.267
43.3821 456.867
43.4942 456.307
43.6063 455.754
43.7184 455.206
43.8305 454.663
43.9426 454.124
44.0547 453.588
44.1668 453.054
44.2789 452.522
44.391 452.004
44.503 451.489
44.6151 450.978
44.7272 450.47
44.8393 449.966
44.9514 449.465
45.0635 448.967
45.1756 448.474
45.2877 447.754
45.3998 446.907
45.5119 446.06
45.624 445.214
45.7361 444.366
45.8482 443.515
45.9603 442.662
46.0724 441.804
46.1845 440.947
46.2966 440.102
46.4087 439.257
46.5208 438.409
46.6329 437.56
46.745 436.71
46.8571 435.859
46.9692 435.006
47.0813 434.153
47.1934 432.92
47.3055 431.605
47.4176 430.281
47.5297 428.948
47.6418 427.604
47.7539 426.248
47.866 424.879
47.9781 423.496
48.0902 422.113
48.2023 420.74
48.3144 419.358
48.4265 417.968
48.5386 416.569
48.6507 415.162
48.7628 413.748
48.8749 412.327
48.987 410.884
49.0991 408.826
49.2112 406.746
49.3233 404.644
49.4354 402.517
49.5475 400.364
49.6596 398.184
49.7717 395.974
49.8838 393.735
49.9959 391.519
50.108 389.316
50.2201 387.094
50.3322 384.855
50.4443 382.6
50.5564 380.33
50.6685 378.047
50.7806 375.751
50.8927 373.247
51.0048 370.001
51.1169 366.711
51.229 363.373
51.341 359.985
51.4531 356.546
51.5652 353.055
51.6773 349.51
51.7894 345.91
51.9015 342.515
52.0136 339.146
52.1257 335.751
52.2378 332.332
52.3499 328.893
52.462 325.439
52.5741 321.975
52.6862 318.506
52.7983 314.458
52.9104 309.528
53.0225 304.517
53.1346 299.424
53.2467 294.247
53.3588 288.987
53.4709 283.646
53.583 278.225
53.6951 272.737
53.8072 268.278
53.9193 263.8
54.0314 259.32
54.1435 254.858
54.2556 250.437
54.3677 246.081
54.4798 241.821
54.5919 237.688
54.704 232.591
54.8161 226.819
54.9282 221.09
55.0403 215.429
55.1524 209.867
55.2645 204.444
55.3766 199.206
55.4887 194.21
55.6008 189.501
55.7129 185.067
55.825 181.026
55.9371 177.472
56.0492 174.5
56.1613 172.206
56.2734 170.691
56.3855 170.051
56.4976 170.388
56.6097 170.194
56.7218 170.528
56.8339 171.798
56.946 174.015
57.0581 177.177
57.1702 181.27
57.2823 186.268
57.3944 192.131
57.5065 196.379
57.6186 197.689
57.7307 199.767
57.8428 202.585
57.9549 206.111
58.067 210.311
58.1791 215.147
58.2911 220.576
58.4032 226.552
58.5153 230.443
58.6274 234.861
58.7395 239.768
58.8516 245.111
58.9637 250.84
59.0758 256.909
59.1879 263.276
59.3 269.905
59.4121 275.889
59.5242 281.101
59.6363 286.069
59.7484 290.814
59.8605 295.354
59.9726 299.711
60.0847 303.906
60.1968 307.96
60.3089 311.79
60.421 315.225
60.5331 318.827
60.6452 322.574
60.7573 326.441
60.8694 330.408
60.9815 334.455
61.0936 338.563
61.2057 342.715
61.3178 346.738
61.4299 350.566
61.542 354.221
61.6541 357.706
61.7662 361.023
61.8783 364.174
61.9904 367.163
62.1025 369.994
62.2146 372.45
62.3267 374.575
62.4388 376.802
62.5509 379.123
62.663 381.527
62.7751 384.009
62.8872 386.559
62.9993 389.17
63.1114 391.836
63.2235 394.323
63.3356 396.699
63.4477 398.97
63.5598 401.138
63.6719 403.204
63.784 405.171
63.8961 407.041
64.0082 408.815
64.1203 410.285
64.2324 411.627
64.3445 413.029
64.4566 414.487
64.5687 415.996
64.6808 417.552
64.7929 419.151
64.905 420.789
65.0171 422.442
65.1291 423.97
65.2412 425.432
65.3533 426.828
65.4654 428.16
65.5775 429.43
65.6896 430.638
65.8017 431.786
65.9138 432.875
66.0259 433.708
66.138 434.514
66.2501 435.365
66.3622 436.259
66.4743 437.192
66.5864 438.162
66.6985 439.167
66.8106 440.204
66.9227 441.236
67.0348 442.185
67.1469 443.09
67.259 443.952
67.3711 444.772
67.4832 445.551
67.5953 446.291
67.7074 446.991
67.8195 447.654
67.9316 448.092
68.0437 448.56
68.1558 449.068
68.2679 449.612
68.38 450.191
68.4921 450.804
68.6042 451.448
68.7163 452.122
68.8284 452.775
68.9405 453.372
69.0526 453.939
69.1647 454.476
69.2768 454.984
69.3889 455.465
69.501 455.918
69.6131 456.345
69.7252 456.718
69.8373 456.94
69.9494 457.199
70.0615 457.494
70.1736 457.823
70.2857 458.185
70.3978 458.579
70.5099 459.003
70.622 459.455
70.7341 459.874
70.8462 460.257
70.9583 460.616
71.0704 460.954
71.1825 461.271
71.2946 461.567
71.4067 461.843
71.5188 462.101
71.6309 462.284
71.743 462.379
71.8551 462.51
71.9671 462.674
72.0792 462.872
72.1913 463.102
72.3034 463.361
72.4155 463.65
72.5276 463.967
72.6397 464.238
72.7518 464.488
72.8639 464.719
72.976 464.934
73.0881 465.132
73.2002 465.314
73.3123 465.482
73.4244 465.634
73.5365 465.696
73.6486 465.714
73.7607 465.766
73.8728 465.852
73.9849 465.969
74.097 466.118
74.2091 466.296
74.3212 466.503
74.4333 466.73
74.5454 466.913
74.6575 467.08
74.7696 467.232
74.8817 467.37
74.9938 467.494
75.1059 467.605
75.218 467.703
75.3301 467.79
75.4422 467.77
75.5543 467.743
75.6664 467.75
75.7785 467.789
75.8906 467.86
76.0027 467.961
76.1148 468.091
76.2269 468.249
76.339 468.416
76.4511 468.546
76.5632 468.662
76.6753 468.765
76.7874 468.855
76.8995 468.935
77.0116 469.003
77.1237 469.06
77.2358 469.108
77.3479 469.033
77.46 468.981
77.5721 468.963
77.6842 468.976
77.7963 469.021
77.9084 469.096
78.0205 469.2
78.1326 469.331
78.2447 469.459
78.3568 469.556
78.4689 469.639
78.581 469.711
78.6931 469.771
78.8051 469.821
78.9172 469.861
79.0293 469.891
79.1414 469.896
79.2535 469.796
79.3656 469.73
79.4777 469.697
79.5898 469.695
79.7019 469.724
79.814 469.782
79.9261 469.87
80.0382 469.985
80.1503 470.084
80.2624 470.159
80.3745 470.223
80.4866 470.276
80.5987 470.318
80.7108 470.35
80.8229 470.373
80.935 470.387
81.0471 470.36
81.1592 470.271
81.2713 470.202
81.3834 470.152
81.4955 470.119
81.6076 470.102
81.7197 470.099
81.8318 470.108
81.9439 470.128
82.056 470.183
82.1681 470.24
82.2802 470.297
82.3923 470.354
82.5044 470.414
82.6165 470.476
82.7286 470.543
82.8407 470.616
82.9528 470.616
83.0649 470.558
83.177 470.528
83.2891 470.525
83.4012 470.548
83.5133 470.597
83.6254 470.673
83.7375 470.773
83.8496 470.876
83.9617 470.793
84.0738 470.712
84.1859 470.633
84.298 470.554
84.4101 470.474
84.5222 470.393
84.6343 470.309
84.7464 470.222
84.8585 470.193
84.9706 470.207
85.0827 470.239
85.1948 470.291
85.3069 470.363
85.419 470.456
85.5311 470.57
85.6431 470.706
85.7552 470.808
85.8673 470.782
85.9794 470.758
86.0915 470.736
86.2036 470.717
86.3157 470.7
86.4278 470.686
86.5399 470.675
86.652 470.667
86.7641 470.553
86.8762 470.445
86.9883 470.356
87.1004 470.285
87.2125 470.23
87.3246 470.19
87.4367 470.162
87.5488 470.146
87.6609 470.154
87.773 470.179
87.8851 470.203
87.9972 470.228
88.1093 470.255
88.2214 470.284
88.3335 470.317
88.4456 470.355
88.5577 470.387
88.6698 470.287
88.7819 470.214
88.894 470.168
89.0061 470.149
89.1182 470.156
89.2303 470.188
89.3424 470.246
89.4545 470.33
89.5666 470.282
89.6787 470.168
89.7908 470.055
89.9029 469.941
90.015 469.827
90.1271 469.711
90.2392 469.592
90.3513 469.47
90.4634 469.367
90.5755 469.339
90.6876 469.329
90.7997 469.338
90.9118 469.366
91.0239 469.414
91.136 469.483
91.2481 469.574
91.3602 469.687
91.4723 469.639
91.5844 469.569
91.6965 469.5
91.8086 469.432
91.9207 469.367
92.0328 469.303
92.1449 469.242
92.257 469.183
92.3691 469.054
92.4811 468.87
92.5932 468.718
92.7053 468.598
92.8174 468.509
92.9295 468.451
93.0416 468.421
93.1537 468.419
93.2658 468.439
