"Distance [mm]","Mag_B [mTesla]"
0,173.112444054216
0.11209836243481,173.81845312035
0.224196724869619,174.926857277882
0.336295087304429,176.4908229764
0.448393449739239,178.562077328596
0.560491812174048,181.190932994218
0.672590174608858,184.426310614688
0.784688537043668,188.315758800506
0.896786899478478,192.905471676443
1.00888526191329,196.017769492715
1.1209836243481,198.422682936996
1.23308198678291,201.565838391568
1.34518034921772,205.374799787589
1.45727871165253,209.779477693599
1.56937707408734,214.712334481039
1.68147543652215,220.108581729328
1.79357379895696,225.906369747885
1.90567216139177,231.548462854682
2.01777052382657,235.437077673954
2.12986888626138,239.645266228689
2.24196724869619,244.14654680581
2.354065611131,248.915798046477
2.46616397356581,253.929312166288
2.57826233600062,259.164844719853
2.69036069843543,264.60166087576
2.80245906087024,270.220578171792
2.91455742330505,275.659187253947
3.02665578573986,280.973205480939
3.13875414817467,286.21432420641
3.25085251060948,291.365053973871
3.36295087304429,296.409489564008
3.4750492354791,301.33333552478
3.58714759791391,306.123930272103
3.69924596034872,310.770268743269
3.81134432278353,314.856677624275
3.92344268521834,318.323746577497
4.03554104765315,321.882807316264
4.14763941008796,325.516400430897
4.25973777252277,329.20828552592
4.37183613495758,332.943432410783
4.48393449739239,336.708011060127
4.5960328598272,340.489380363235
4.70813122226201,344.276075683329
4.82022958469682,347.77979357497
4.93232794713163,351.246169952606
5.04442630956644,354.675778372548
5.15652467200125,358.06493053642
5.26862303443606,361.41024572984
5.38072139687087,364.708650283044
5.49281975930568,367.957376801844
5.60491812174049,371.153963172612
5.7170164841753,373.80865913944
5.82911484661011,376.11876805685
5.94121320904492,378.448556758055
6.05331157147972,380.79129197444
6.16540993391453,383.14060847167
6.27750829634934,385.49050641871
6.38960665878415,387.835348423688
6.50170502121896,390.169856242779
6.61380338365377,392.476762199599
6.72590174608858,394.705752104446
6.83800010852339,396.911710578484
6.9500984709582,399.093102986202
7.06219683339301,401.248509373254
7.17429519582782,403.376624496398
7.28639355826263,405.476257780186
7.39849192069744,407.546333201499
7.51059028313225,409.585889103018
7.62268864556706,411.144758919085
7.73478700800187,412.578312027431
7.84688537043668,414.020102845605
7.95898373287149,415.466801561456
8.0710820953063,416.915222249831
8.18318045774111,418.362322371656
8.29527882017592,419.805202151796
8.40737718261073,421.241103837583
8.51947554504554,422.655493591392
8.63157390748035,424.039441946478
8.74367226991516,425.41302377409
8.85577063234997,426.775497781673
8.96786899478477,428.126181257454
9.07996735721959,429.46445024008
9.1920657196544,430.789739653132
9.30416408208921,432.101543404839
9.41626244452401,433.399414453296
9.52836080695883,434.266013333104
9.64045916939364,435.128223605086
9.75255753182844,435.998896305292
9.86465589426325,436.876007872808
9.97675425669806,437.757606846887
10.0888526191329,438.641813973326
10.2009509815677,439.526822252424
10.3130493440025,440.410896929185
10.4251477064373,441.280859327861
10.5372460688721,442.139853181769
10.6493444313069,442.996798945699
10.7614427937417,443.851270547066
10.8735411561765,444.702879224775
10.9856395186114,445.551273710183
11.0977378810462,446.396140385962
11.209836243481,447.23720342294
11.3219346059158,448.01821554601
11.4340329683506,448.509977441553
11.5461313307854,449.013229784619
11.6582296932202,449.526507535096
11.770328055655,450.048389228057
11.8824264180898,450.577497283955
11.9945247805246,451.112498283945
12.1066231429594,451.652103210529
12.2187215053943,452.195067653722
12.3308198678291,452.730704204427
12.4429182302639,453.266681097442
12.5550165926987,453.806019033806
12.6671149551335,454.348443386142
12.7792133175683,454.893706865995
12.8913116800031,455.441589687346
13.0034100424379,455.991899713874
13.1155084048727,456.544472589922
13.2276067673075,456.994463066529
13.3397051297424,457.262382246946
13.4518034921772,457.543026745237
13.563901854612,457.835254333956
13.6760002170468,458.137953430456
13.7880985794816,458.450043438078
13.9001969419164,458.770475063217
14.0122953043512,459.098230608299
14.124393666786,459.432324240697
14.2364920292208,459.764236622717
14.3485903916556,460.102427759492
14.4606887540905,460.447124268631
14.5727871165253,460.7981271268
14.6848854789601,461.155259538841
14.7969838413949,461.518367085368
14.9090822038297,461.887317857003
15.0211805662645,462.262002575237
15.1332789286993,462.499345111528
15.2453772911341,462.630259342385
15.3574756535689,462.774685903545
15.4695740160037,462.931665620298
15.5816723784385,463.100263348701
15.6937707408734,463.279568316603
15.8058691033082,463.468694445975
15.917967465743,463.666780656525
16.0300658281778,463.872148188183
16.1421641906126,464.080916632471
16.2542625530474,464.298642920433
16.3663609154822,464.525158202652
16.478459277917,464.760312705214
16.5905576403518,465.003975872599
16.7026560027866,465.256036498942
16.8147543652215,465.516402847625
16.9268527276563,465.785002759157
17.0389510900911,465.882783394912
17.1510494525259,465.931527953424
17.2631478149607,465.994373877585
17.3752461773955,466.070467588318
17.4873445398303,466.158975984155
17.5994429022651,466.259086774988
17.7115412646999,466.370008800019
17.8236396271347,466.490972329868
17.9357379895695,466.619428613371
18.0478363520044,466.754107976468
18.1599347144392,466.898885974198
18.272033076874,467.053617186118
18.3841314393088,467.218173660767
18.4962298017436,467.392445050216
18.6083281641784,467.576338733904
18.7204265266132,467.769779931676
18.832524889048,467.972711806015
18.9446232514828,467.969372938789
19.0567216139177,467.965445136178
19.1688199763525,467.975871802936
19.2809183387873,467.999856611022
19.3930167012221,468.036621872565
19.5051150636569,468.085408867559
19.6172134260917,468.14547815729
19.7293117885265,468.216109883378
19.8414101509613,468.29549580834
19.9535085133961,468.384477740738
20.0656068758309,468.484249254317
20.1777052382657,468.594686839888
20.2898036007006,468.715683561035
20.4019019631354,468.847149180714
20.5140003255702,468.989010277669
20.626098688005,469.141210352607
20.7381970504398,469.275346577059
